Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-Aug-05,1270,1283.8,1240.6,1252.6,1255.784293,100071,2700,125667590,35294,35.27,43.2,-17.4
2-Aug-05,1260,1298.85,1260,1291.4,1286.284294,210472,3539,270726828,125430,59.59,38.85,31.4
3-Aug-05,1305,1308.75,1283,1300.45,1298.329843,347435,4343,451085229,210464,60.58,25.75,-4.55
4-Aug-05,1320,1320,1289,1294.6,1303.34725,228737,3830,298123740,98896,43.24,31,-25.4
5-Aug-05,1305.25,1305.25,1276.15,1285.25,1285.7793,101708,2209,130774041,37160,36.54,29.1,-20
8-Aug-05,1285,1286.95,1274,1280.15,1279.944831,121446,1882,155444180,55785,45.93,12.95,-4.85
9-Aug-05,1285,1285.95,1265,1284.5,1279.816121,253265,2967,324132630,139133,54.94,20.95,-0.5
10-Aug-05,1290,1315.1,1287.1,1313,1302.607043,321608,5722,418928846,152300,47.36,28,23
11-Aug-05,1301.85,1329.4,1301.85,1311.8,1318.706284,148477,3934,195797553,26813,18.06,27.55,9.95
12-Aug-05,1322.7,1323.9,1275,1282.9,1298.185179,140783,3942,182762404,22473,15.96,48.9,-39.8
16-Aug-05,1285,1295,1265.1,1269.4,1271.188446,145225,2679,184608342,90696,62.45,29.9,-15.6
17-Aug-05,1269,1301,1264,1298.2,1283.09194,151903,3159,194905515,58879,38.76,37,29.2
18-Aug-05,1305,1324,1305,1313.7,1315.295476,243847,4762,320730856,111747,45.83,19,8.7
19-Aug-05,1313.5,1333,1312,1326.5,1324.14628,166168,4457,220030739,65863,39.64,21,13
22-Aug-05,1330,1346.85,1312,1316.7,1330.617493,196770,4184,261825604,54535,27.72,34.85,-13.3
23-Aug-05,1256.3,1330.1,1256.3,1316.55,1318.242978,176415,2595,232557835,46535,26.38,73.8,60.25
24-Aug-05,1312,1315,1287,1300.25,1299.542232,129736,2704,168597411,33952,26.17,28,-11.75
25-Aug-05,1309.8,1326.6,1298,1322.05,1314.964647,136254,3031,179169193,49692,36.47,28.6,12.25
26-Aug-05,1325,1370,1325,1364.3,1350.308864,325315,10149,439275728,113717,34.96,45,39.3
29-Aug-05,1365,1366,1331,1354.05,1348.504416,134292,3474,181093355,24692,18.39,35,-10.95
30-Aug-05,1365,1391,1361,1384.05,1380.381741,205097,5109,283112154,53958,26.31,30,19.05
31-Aug-05,1388,1416,1384,1405.85,1401.843882,233964,5872,327981002,72666,31.06,32,17.85
1-Sep-05,1404.7,1432,1404.7,1419.25,1422.179696,185975,5326,264489869,34400,18.5,27.3,14.55
2-Sep-05,1430,1440,1415,1429.25,1430.654302,155708,4329,222764320,41500,26.65,25,-0.75
5-Sep-05,1437,1466.8,1405.35,1410.4,1439.858361,274360,5708,395039540,84541,30.81,61.45,-26.6
6-Sep-05,1415,1422,1387,1397.65,1400.228209,207319,3971,290293912,70940,34.22,35,-17.35
8-Sep-05,1399,1416,1395,1404.1,1403.137999,107602,2708,150980455,27559,25.61,21,5.1
9-Sep-05,1407,1415,1377,1392,1391.625919,144367,2585,200904859,41628,28.83,38,-15
12-Sep-05,1400.55,1433.6,1400.55,1427.4,1422.473982,206240,3885,293371034,73096,35.44,33.05,26.85
13-Sep-05,1430,1430,1411.1,1418.1,1418.346482,88094,1815,124947815,19273,21.88,18.9,-11.9
14-Sep-05,1411.1,1426.5,1388,1399.55,1410.983732,138061,2855,194801825,32431,23.49,38.5,-11.55
15-Sep-05,1402.5,1455.9,1402,1450.35,1433.071613,393420,7035,563799034,205547,52.25,53.9,47.85
16-Sep-05,1455,1463.9,1440.2,1456.5,1451.892393,253737,4806,368398820,124577,49.1,23.7,1.5
19-Sep-05,1460,1466.9,1445,1453.2,1454.508522,146739,2926,213433126,57063,38.89,21.9,-6.8
20-Sep-05,1455,1482,1435.55,1470.55,1465.940767,246030,6598,360665407,59839,24.32,46.45,15.55
21-Sep-05,1450.6,1478,1430.6,1453.05,1455.479469,250619,5120,364770809,76997,30.72,47.4,2.45
22-Sep-05,1450,1453.05,1400,1403.05,1429.896495,280769,4094,401470609,130071,46.33,53.05,-46.95
23-Sep-05,1425,1430,1407,1411.4,1417.832543,158584,3612,224845556,47565,29.99,23,-13.6
26-Sep-05,1420.8,1474,1405.6,1466.4,1448.707045,105016,3223,152137419,30759,29.29,68.4,45.6
27-Sep-05,1470,1478,1450,1461.65,1465.133022,276675,4054,405365679,130858,47.3,28,-8.35
28-Sep-05,1460,1475,1448,1469.35,1459.44274,204384,2978,298286745,95560,46.76,27,9.35
29-Sep-05,1475.1,1491.25,1465,1471.6,1481.036251,343825,6101,509217289,144557,42.04,26.25,-3.5
30-Sep-05,1475.9,1492,1464,1481.25,1479.927806,187010,4859,276761299,26177,14,28,5.35
3-Oct-05,1490,1505,1482,1497.05,1495.903371,154487,4538,231097624,35004,22.66,23,7.05
4-Oct-05,1497.1,1502.9,1482.9,1489.2,1491.032916,310489,4606,462949319,135870,43.76,20,-7.9
5-Oct-05,1487.1,1491.2,1464.05,1469.65,1475.061499,249972,3383,368724073,131686,52.68,27.15,-17.45
6-Oct-05,1460,1460,1420.1,1426.05,1442.861591,330895,5476,477435686,126920,38.36,39.9,-33.95
7-Oct-05,1435,1455,1415,1445.45,1439.747727,279257,4670,402059631,106540,38.15,40,10.45
10-Oct-05,1450,1460.5,1443.1,1449.3,1452.802348,172996,3438,251328995,56010,32.38,17.4,-0.7
11-Oct-05,1460,1474,1401.5,1467.9,1455.185051,480328,10614,698966125,80378,16.73,72.5,7.9
13-Oct-05,1480,1495,1432,1437.65,1460.578295,584378,10405,853529823,120955,20.7,63,-42.35
14-Oct-05,1445,1452,1416.5,1423.15,1436.361447,265439,5269,381266346,66573,25.08,35.5,-21.85
17-Oct-05,1490,1490,1423,1433.85,1432.188767,261804,3890,374952748,113707,43.43,67,-56.15
18-Oct-05,1440,1462.5,1430.05,1438.65,1447.245849,506096,7098,732445335,167885,33.17,32.45,-1.35
19-Oct-05,1440,1445,1374,1402.3,1408.266917,422610,8883,595147682,123086,29.13,71,-37.7
20-Oct-05,1420,1435,1393,1415.95,1414.280194,317794,6506,449449760,68846,21.66,42,-4.05
21-Oct-05,1415,1438,1407,1429.2,1422.475789,215276,3251,306224898,103082,47.88,31,14.2
24-Oct-05,1440.1,1440.1,1401,1406.6,1417.173926,184855,3019,261971686,60409,32.68,39.1,-33.5
25-Oct-05,1414,1451,1406,1442.65,1429.128894,133342,3769,190562905,37196,27.9,45,28.65
26-Oct-05,1440,1441.95,1418.1,1421.7,1431.769184,140185,2366,200712563,52458,37.42,23.85,-18.3
27-Oct-05,1425,1427.5,1400,1406.4,1416.68476,170137,2953,241030495,69305,40.73,27.5,-18.6
